Date,Port,ticker,shares
01/27/2026,long_positions,UPBD,9577
01/27/2026,long_positions,BOKF,3473
01/27/2026,long_positions,EQH,14140
01/27/2026,long_positions,TRGP,126
01/27/2026,long_positions,NLY,946
01/27/2026,long_positions,TALO,3223
01/27/2026,long_positions,BBWI,10351
01/27/2026,long_positions,REGN,250
01/27/2026,long_positions,TCBI,366
01/27/2026,long_positions,PARR,54
01/27/2026,long_positions,NEXA,71
01/27/2026,long_positions,RAMP,1145
01/27/2026,long_positions,ANGO,2366
01/27/2026,long_positions,RL,34
01/27/2026,long_positions,MOD,582
01/27/2026,long_positions,WK,1553
01/27/2026,long_positions,DCO,283
01/27/2026,long_positions,VCYT,943
01/27/2026,long_positions,OMF,2361
01/27/2026,long_positions,ETSY,3362
01/27/2026,long_positions,EBS,1004
01/27/2026,long_positions,PRAA,130
01/27/2026,long_positions,EL,1522
01/27/2026,long_positions,SENEA,34
01/27/2026,long_positions,GLNG,5941
01/27/2026,long_positions,RITM,6381
01/27/2026,long_positions,ACIW,1515
01/27/2026,long_positions,VITL,3048
01/27/2026,long_positions,RXO,9210
01/27/2026,long_positions,SEI,439
01/27/2026,long_positions,TPH,5358
01/27/2026,long_positions,NE,3304
01/27/2026,long_positions,AGIO,3171
01/27/2026,long_positions,PINS,12587
01/27/2026,long_positions,BLMN,10099
01/27/2026,long_positions,EEFT,1442
01/27/2026,long_positions,LVS,4225
01/27/2026,long_positions,JAZZ,659
01/27/2026,long_positions,WBS,2504
01/27/2026,long_positions,LGND,381
01/27/2026,long_positions,INSM,7
01/27/2026,long_positions,PRU,1035
01/27/2026,long_positions,MO,4508
01/27/2026,long_positions,NX,7284
01/27/2026,long_positions,MUSA,435
01/27/2026,long_positions,PCRX,4472
01/27/2026,long_positions,WGS,8
01/27/2026,long_positions,GPC,1983
01/27/2026,long_positions,KBR,86
01/27/2026,long_positions,RSI,103
01/27/2026,long_positions,HUBS,603
01/27/2026,long_positions,FIS,3951
01/27/2026,long_positions,FHN,18716
01/27/2026,long_positions,TBBK,579
01/27/2026,long_positions,TMHC,258
01/27/2026,long_positions,PCOR,3053
01/27/2026,long_positions,CCOI,4664
01/27/2026,long_positions,OSIS,477
01/27/2026,long_positions,EPRT,3595
01/27/2026,long_positions,LYV,610
01/27/2026,long_positions,GSIT,9689
01/27/2026,long_positions,MTUS,2505
01/27/2026,long_positions,BKR,4573
01/27/2026,long_positions,AVPT,7694
01/27/2026,long_positions,SNAP,40645
01/27/2026,long_positions,QCOM,2802
01/27/2026,long_positions,LFST,4206
01/27/2026,long_positions,ALB,2049
01/27/2026,long_positions,PNFP,5024
01/27/2026,long_positions,GCMG,3205
01/27/2026,long_positions,CALY,14519
01/27/2026,long_positions,OMCL,2771
01/27/2026,long_positions,MOH,222
01/27/2026,long_positions,JXN,64
01/27/2026,long_positions,MAR,94
01/27/2026,long_positions,TROX,9299
01/27/2026,long_positions,PLXS,1840
01/27/2026,long_positions,SM,2530
01/27/2026,long_positions,HAE,35
01/27/2026,long_positions,WD,1326
01/27/2026,long_positions,KRO,27637
01/27/2026,long_positions,MWA,2622
01/27/2026,long_positions,VSAT,16
01/27/2026,long_positions,CNM,2510
01/27/2026,long_positions,BPOP,183
01/27/2026,long_positions,CTO,435
01/27/2026,long_positions,BKNG,52
01/27/2026,long_positions,EQR,4991
01/27/2026,long_positions,SLNO,330
01/27/2026,long_positions,DXC,18459
01/27/2026,long_positions,CPF,979
01/27/2026,long_positions,SPNT,112
01/27/2026,long_positions,ZTS,1922
01/27/2026,long_positions,IMAX,931
01/27/2026,long_positions,SFNC,8716
01/27/2026,long_positions,ATRC,805
01/27/2026,long_positions,AWK,1719
01/27/2026,long_positions,AROC,17035
01/27/2026,long_positions,PODD,734
01/27/2026,long_positions,HOV,589
01/27/2026,long_positions,HCSG,281
01/27/2026,long_positions,COLB,12373
01/27/2026,long_positions,UTHR,75
01/27/2026,long_positions,HTZ,6048
01/27/2026,long_positions,XNCR,2486
01/27/2026,long_positions,ACLX,3584
01/27/2026,long_positions,AEIS,856
01/27/2026,long_positions,FAST,5625
01/27/2026,long_positions,MU,405
01/27/2026,long_positions,SBLK,9167
01/27/2026,long_positions,FSLR,1263
01/27/2026,long_positions,HLX,4151
01/27/2026,long_positions,YUM,1838
01/27/2026,long_positions,DAVE,4
01/27/2026,long_positions,LASR,588
01/27/2026,long_positions,ATKR,851
01/27/2026,long_positions,BWA,4627
01/27/2026,long_positions,KFY,208
01/27/2026,long_positions,FHI,2936
01/27/2026,long_positions,IART,1236
01/27/2026,long_positions,GIS,5868
01/27/2026,long_positions,AME,603
01/27/2026,long_positions,OGE,3642
01/27/2026,long_positions,ENSG,1072
01/27/2026,long_positions,AXP,803
01/27/2026,long_positions,PTGX,13
01/27/2026,long_positions,GD,1313
01/27/2026,long_positions,TNL,471
01/27/2026,long_positions,GSAT,1125
01/27/2026,long_positions,ROIV,7312
01/27/2026,long_positions,PFS,3653
01/27/2026,long_positions,USNA,8108
01/27/2026,long_positions,ALV,3912
01/27/2026,long_positions,BLDR,1074
01/27/2026,long_positions,PLD,948
01/27/2026,long_positions,CPT,739
01/27/2026,long_positions,BCO,873
01/27/2026,long_positions,SF,2849
01/27/2026,long_positions,ADBE,1476
01/27/2026,long_positions,LUMN,1896
01/27/2026,long_positions,FRT,2369
01/27/2026,long_positions,BCPC,132
01/27/2026,long_positions,TXT,3325
01/27/2026,long_positions,SYBT,917
01/27/2026,long_positions,HOPE,15520
01/27/2026,long_positions,FLG,13683
01/27/2026,long_positions,FTDR,91
01/27/2026,long_positions,AGX,227
01/27/2026,long_positions,SNDX,5929
01/27/2026,long_positions,ECPG,499
01/27/2026,long_positions,JKHY,773
01/27/2026,long_positions,XPRO,218
01/27/2026,long_positions,UMH,3617
01/27/2026,long_positions,MKC,6653
01/27/2026,long_positions,CRM,2728
01/27/2026,long_positions,AMSF,923
01/27/2026,long_positions,HOMB,5522
01/27/2026,long_positions,WMT,533
01/27/2026,long_positions,VLO,1764
01/27/2026,long_positions,KRG,3194
01/27/2026,long_positions,DKNG,4484
01/27/2026,long_positions,HHH,652
01/27/2026,long_positions,COKE,727
01/27/2026,long_positions,OFIX,194
01/27/2026,long_positions,CVI,163
01/27/2026,long_positions,ARLO,2439
01/27/2026,long_positions,MCD,2027
01/27/2026,long_positions,MRVL,1257
01/27/2026,long_positions,HAFC,3586
01/27/2026,long_positions,WGO,562
01/27/2026,long_positions,ASB,3128
01/27/2026,long_positions,AKBA,77398
01/27/2026,long_positions,CACI,68
01/27/2026,long_positions,HY,8311
01/27/2026,long_positions,ATEC,9087
01/27/2026,long_positions,HPE,17362
01/27/2026,long_positions,BE,612
01/27/2026,long_positions,SNX,96
01/27/2026,long_positions,CENTA,196
