Date,Port,ticker,shares
01/30/2026,US_live_port,FISV,-3549
01/30/2026,US_live_port,UPBD,6996
01/30/2026,US_live_port,BOKF,2552
01/30/2026,US_live_port,EQH,14844
01/30/2026,US_live_port,TRGP,278
01/30/2026,US_live_port,NLY,-23547
01/30/2026,US_live_port,AGYS,-147
01/30/2026,US_live_port,UNP,-898
01/30/2026,US_live_port,COR,93
01/30/2026,US_live_port,TALO,3774
01/30/2026,US_live_port,BBWI,-16
01/30/2026,US_live_port,MATW,-1287
01/30/2026,US_live_port,NXST,-1019
01/30/2026,US_live_port,REGN,269
01/30/2026,US_live_port,TCBI,-2885
01/30/2026,US_live_port,PARR,8
01/30/2026,US_live_port,ERIE,-506
01/30/2026,US_live_port,NEXA,11
01/30/2026,US_live_port,CTMX,-22179
01/30/2026,US_live_port,SCHW,5126
01/30/2026,US_live_port,MSTR,-1127
01/30/2026,US_live_port,AOS,-3482
01/30/2026,US_live_port,RAMP,1147
01/30/2026,US_live_port,SIG,-98
01/30/2026,US_live_port,ANGO,6966
01/30/2026,US_live_port,RL,734
01/30/2026,US_live_port,MOD,-1227
01/30/2026,US_live_port,WK,1091
01/30/2026,US_live_port,ATEX,-158
01/30/2026,US_live_port,DCO,2922
01/30/2026,US_live_port,VCYT,472
01/30/2026,US_live_port,OMF,4219
01/30/2026,US_live_port,ETSY,782
01/30/2026,US_live_port,JJSF,-3033
01/30/2026,US_live_port,EBS,-6518
01/30/2026,US_live_port,MP,-383
01/30/2026,US_live_port,PRMB,-6313
01/30/2026,US_live_port,CPB,-1868
01/30/2026,US_live_port,MXL,7545
01/30/2026,US_live_port,EBC,1721
01/30/2026,US_live_port,BH/A,-117
01/30/2026,US_live_port,PRAA,-12012
01/30/2026,US_live_port,EL,2222
01/30/2026,US_live_port,SENEA,346
01/30/2026,US_live_port,WPC,-2881
01/30/2026,US_live_port,GLNG,2002
01/30/2026,US_live_port,CFR,-271
01/30/2026,US_live_port,SCSC,-374
01/30/2026,US_live_port,THR,-13
01/30/2026,US_live_port,RITM,18301
01/30/2026,US_live_port,ACIW,3354
01/30/2026,US_live_port,VITL,-7
01/30/2026,US_live_port,META,-302
01/30/2026,US_live_port,RXO,-127
01/30/2026,US_live_port,ACHC,-1046
01/30/2026,US_live_port,SEI,-124
01/30/2026,US_live_port,TPH,2629
01/30/2026,US_live_port,NE,3641
01/30/2026,US_live_port,AGIO,337
01/30/2026,US_live_port,SABR,-25
01/30/2026,US_live_port,PINS,5057
01/30/2026,US_live_port,AVNS,-1315
01/30/2026,US_live_port,BLMN,13600
01/30/2026,US_live_port,NOVT,-2
01/30/2026,US_live_port,EEFT,2530
01/30/2026,US_live_port,LZB,-14
01/30/2026,US_live_port,TPL,-274
01/30/2026,US_live_port,MCS,17
01/30/2026,US_live_port,LVS,2202
01/30/2026,US_live_port,JAZZ,637
01/30/2026,US_live_port,WBS,1191
01/30/2026,US_live_port,OVV,-12168
01/30/2026,US_live_port,HFWA,-11998
01/30/2026,US_live_port,LGND,237
01/30/2026,US_live_port,INSM,1
01/30/2026,US_live_port,PRU,1145
01/30/2026,US_live_port,PLPC,-1
01/30/2026,US_live_port,MO,5968
01/30/2026,US_live_port,BLFS,-13
01/30/2026,US_live_port,NX,4840
01/30/2026,US_live_port,NFLX,-1780
01/30/2026,US_live_port,LMT,-316
01/30/2026,US_live_port,MUSA,788
01/30/2026,US_live_port,PCRX,5705
01/30/2026,US_live_port,WGS,-2201
01/30/2026,US_live_port,GPC,911
01/30/2026,US_live_port,SMTC,-600
01/30/2026,US_live_port,FMBH,367
01/30/2026,US_live_port,KBR,465
01/30/2026,US_live_port,RSI,-12998
01/30/2026,US_live_port,GOGO,-19310
01/30/2026,US_live_port,HUBS,1074
01/30/2026,US_live_port,A,-650
01/30/2026,US_live_port,ACGL,-217
01/30/2026,US_live_port,UNIT,29053
01/30/2026,US_live_port,FIS,5669
01/30/2026,US_live_port,VLY,-8579
01/30/2026,US_live_port,FHN,9458
01/30/2026,US_live_port,OMER,-1831
01/30/2026,US_live_port,TBBK,1697
01/30/2026,US_live_port,TMHC,21
01/30/2026,US_live_port,FG,-2664
01/30/2026,US_live_port,APEI,-2185
01/30/2026,US_live_port,NOV,-15197
01/30/2026,US_live_port,PCOR,1983
01/30/2026,US_live_port,CCOI,3946
01/30/2026,US_live_port,OSIS,295
01/30/2026,US_live_port,MCO,-683
01/30/2026,US_live_port,EPRT,5009
01/30/2026,US_live_port,CACC,751
01/30/2026,US_live_port,LYV,-608
01/30/2026,US_live_port,CLH,-2349
01/30/2026,US_live_port,SB,41
01/30/2026,US_live_port,GSIT,8209
01/30/2026,US_live_port,MTUS,1848
01/30/2026,US_live_port,BKR,-1991
01/30/2026,US_live_port,UPS,147
01/30/2026,US_live_port,WDFC,-156
01/30/2026,US_live_port,AVPT,6826
01/30/2026,US_live_port,SNAP,26926
01/30/2026,US_live_port,QCOM,2086
01/30/2026,US_live_port,ROST,-590
01/30/2026,US_live_port,PNR,-2192
01/30/2026,US_live_port,LOB,-13
01/30/2026,US_live_port,LFST,4415
01/30/2026,US_live_port,WEC,-500
01/30/2026,US_live_port,ALB,2608
01/30/2026,US_live_port,PNFP,5285
01/30/2026,US_live_port,GCMG,22942
01/30/2026,US_live_port,CALY,11969
01/30/2026,US_live_port,OMCL,1226
01/30/2026,US_live_port,MOH,597
01/30/2026,US_live_port,BGS,-298
01/30/2026,US_live_port,JXN,-1421
01/30/2026,US_live_port,GTLB,-303
01/30/2026,US_live_port,MAR,161
01/30/2026,US_live_port,ILMN,-406
01/30/2026,US_live_port,EGY,-477
01/30/2026,US_live_port,NNN,1975
01/30/2026,US_live_port,TROX,8956
01/30/2026,US_live_port,PLXS,1592
01/30/2026,US_live_port,SM,-1479
01/30/2026,US_live_port,SLGN,-41
01/30/2026,US_live_port,HAE,43
01/30/2026,US_live_port,TXRH,-2552
01/30/2026,US_live_port,WD,-93
01/30/2026,US_live_port,PR,9412
01/30/2026,US_live_port,CYD,943
01/30/2026,US_live_port,KRO,26002
01/30/2026,US_live_port,TEX,213
01/30/2026,US_live_port,PTCT,227
01/30/2026,US_live_port,MWA,1370
01/30/2026,US_live_port,RMD,-2743
01/30/2026,US_live_port,CC,-4726
01/30/2026,US_live_port,HIMS,-336
01/30/2026,US_live_port,VSAT,-1862
01/30/2026,US_live_port,ACI,-4113
01/30/2026,US_live_port,MNKD,-7231
01/30/2026,US_live_port,CNM,1984
01/30/2026,US_live_port,BHVN,19892
01/30/2026,US_live_port,AMBA,-1975
01/30/2026,US_live_port,BPOP,528
01/30/2026,US_live_port,RLJ,-4424
01/30/2026,US_live_port,SPB,5
01/30/2026,US_live_port,CTO,587
01/30/2026,US_live_port,BKNG,25
01/30/2026,US_live_port,TNET,-138
01/30/2026,US_live_port,EQR,5831
01/30/2026,US_live_port,CRWD,-536
01/30/2026,US_live_port,SLNO,-204
01/30/2026,US_live_port,DXC,13385
01/30/2026,US_live_port,CPF,-11306
01/30/2026,US_live_port,ADNT,-4931
01/30/2026,US_live_port,SPNT,995
01/30/2026,US_live_port,MEDP,-11
01/30/2026,US_live_port,IESC,124
01/30/2026,US_live_port,MGRC,-596
01/30/2026,US_live_port,ZTS,1601
01/30/2026,US_live_port,IMAX,2033
01/30/2026,US_live_port,SFNC,7932
01/30/2026,US_live_port,ATRC,471
01/30/2026,US_live_port,EQBK,4283
01/30/2026,US_live_port,NN,-397
01/30/2026,US_live_port,AWK,1679
01/30/2026,US_live_port,AROC,19329
01/30/2026,US_live_port,PODD,913
01/30/2026,US_live_port,REPL,-2410
01/30/2026,US_live_port,ASIX,-16002
01/30/2026,US_live_port,HOV,421
01/30/2026,US_live_port,COIN,-715
01/30/2026,US_live_port,HCSG,2271
01/30/2026,US_live_port,COLB,-4040
01/30/2026,US_live_port,UTHR,474
