Date,Port,ticker,shares
01/29/2026,US_live_port,FISV,-5723
01/29/2026,US_live_port,UPBD,7799
01/29/2026,US_live_port,BOKF,2934
01/29/2026,US_live_port,EQH,13760
01/29/2026,US_live_port,TRGP,15
01/29/2026,US_live_port,NLY,70
01/29/2026,US_live_port,AGYS,-273
01/29/2026,US_live_port,UNP,-197
01/29/2026,US_live_port,COR,-648
01/29/2026,US_live_port,TALO,3435
01/29/2026,US_live_port,BBWI,14352
01/29/2026,US_live_port,MATW,-1191
01/29/2026,US_live_port,NXST,-867
01/29/2026,US_live_port,REGN,479
01/29/2026,US_live_port,TCBI,182
01/29/2026,US_live_port,PARR,14
01/29/2026,US_live_port,ERIE,-479
01/29/2026,US_live_port,NEXA,57
01/29/2026,US_live_port,CTMX,-22130
01/29/2026,US_live_port,SCHW,4257
01/29/2026,US_live_port,MSTR,-698
01/29/2026,US_live_port,AOS,-4783
01/29/2026,US_live_port,RAMP,946
01/29/2026,US_live_port,SIG,-6
01/29/2026,US_live_port,ANGO,6137
01/29/2026,US_live_port,RL,185
01/29/2026,US_live_port,MOD,-865
01/29/2026,US_live_port,WK,1035
01/29/2026,US_live_port,ATEX,2945
01/29/2026,US_live_port,DCO,2000
01/29/2026,US_live_port,VCYT,400
01/29/2026,US_live_port,OMF,7966
01/29/2026,US_live_port,ETSY,1083
01/29/2026,US_live_port,JJSF,-2218
01/29/2026,US_live_port,EBS,-5608
01/29/2026,US_live_port,MP,-40
01/29/2026,US_live_port,PRMB,-7196
01/29/2026,US_live_port,CPB,-476
01/29/2026,US_live_port,MXL,-2153
01/29/2026,US_live_port,EBC,-1110
01/29/2026,US_live_port,BH/A,-158
01/29/2026,US_live_port,PRAA,-23486
01/29/2026,US_live_port,EL,2970
01/29/2026,US_live_port,SENEA,82
01/29/2026,US_live_port,WPC,-7443
01/29/2026,US_live_port,GLNG,2050
01/29/2026,US_live_port,CFR,-1593
01/29/2026,US_live_port,SCSC,-927
01/29/2026,US_live_port,THR,-646
01/29/2026,US_live_port,RITM,-9192
01/29/2026,US_live_port,ACIW,4968
