Date,Port,ticker,shares
01/27/2026,short_positions,FISV,-1363
01/27/2026,short_positions,AGYS,-119
01/27/2026,short_positions,UNP,-497
01/27/2026,short_positions,COR,-457
01/27/2026,short_positions,MATW,-389
01/27/2026,short_positions,NXST,-1440
01/27/2026,short_positions,ERIE,-499
01/27/2026,short_positions,CTMX,-9030
01/27/2026,short_positions,SCHW,-122
01/27/2026,short_positions,MSTR,-8
01/27/2026,short_positions,AOS,-1035
01/27/2026,short_positions,SIG,-56
01/27/2026,short_positions,ATEX,-1204
01/27/2026,short_positions,JJSF,-2838
01/27/2026,short_positions,MP,-543
01/27/2026,short_positions,PRMB,-5702
01/27/2026,short_positions,CPB,-4619
01/27/2026,short_positions,MXL,-3221
01/27/2026,short_positions,EBC,-1158
01/27/2026,short_positions,BH/A,-213
01/27/2026,short_positions,WPC,-8202
01/27/2026,short_positions,CFR,-736
01/27/2026,short_positions,SCSC,-2814
01/27/2026,short_positions,THR,-1064
01/27/2026,short_positions,META,-184
01/27/2026,short_positions,ACHC,-163
01/27/2026,short_positions,SABR,-5080
01/27/2026,short_positions,AVNS,-191
01/27/2026,short_positions,NOVT,-17
01/27/2026,short_positions,LZB,-108
01/27/2026,short_positions,TPL,-435
01/27/2026,short_positions,MCS,-16659
01/27/2026,short_positions,OVV,-2945
01/27/2026,short_positions,HFWA,-804
01/27/2026,short_positions,PLPC,-56
01/27/2026,short_positions,BLFS,-685
01/27/2026,short_positions,NFLX,-3850
01/27/2026,short_positions,LMT,-398
01/27/2026,short_positions,SMTC,-864
01/27/2026,short_positions,FMBH,-7402
01/27/2026,short_positions,GOGO,-42812
01/27/2026,short_positions,DJT,-11112
01/27/2026,short_positions,A,-847
01/27/2026,short_positions,ACGL,-1328
01/27/2026,short_positions,UNIT,-246
01/27/2026,short_positions,VLY,-5972
01/27/2026,short_positions,OMER,-5080
01/27/2026,short_positions,EVEX,-37384
01/27/2026,short_positions,FG,-3533
01/27/2026,short_positions,APEI,-696
01/27/2026,short_positions,NOV,-6655
01/27/2026,short_positions,MCO,-963
01/27/2026,short_positions,CACC,-8
01/27/2026,short_positions,CLH,-2033
01/27/2026,short_positions,UPS,-5243
01/27/2026,short_positions,WDFC,-129
01/27/2026,short_positions,ROST,-711
01/27/2026,short_positions,PNR,-3583
01/27/2026,short_positions,LOB,-518
01/27/2026,short_positions,WEC,-1945
01/27/2026,short_positions,BGS,-2181
01/27/2026,short_positions,GTLB,-754
01/27/2026,short_positions,ILMN,-415
01/27/2026,short_positions,EGY,-1343
01/27/2026,short_positions,NNN,-3656
01/27/2026,short_positions,SLGN,-139
01/27/2026,short_positions,TXRH,-1010
01/27/2026,short_positions,PR,-25647
01/27/2026,short_positions,CYD,-1715
01/27/2026,short_positions,TEX,-879
01/27/2026,short_positions,PTCT,-4818
01/27/2026,short_positions,RMD,-2498
01/27/2026,short_positions,CC,-10334
01/27/2026,short_positions,HIMS,-1713
01/27/2026,short_positions,ACI,-299
01/27/2026,short_positions,MNKD,-15108
01/27/2026,short_positions,BHVN,-76
01/27/2026,short_positions,AMBA,-3132
01/27/2026,short_positions,RLJ,-4262
01/27/2026,short_positions,SPB,-514
