Date,Port,ticker,shares
01/30/2026,long_positions,UPBD,6996
01/30/2026,long_positions,BOKF,2552
01/30/2026,long_positions,EQH,14844
01/30/2026,long_positions,TRGP,278
01/30/2026,long_positions,COR,93
01/30/2026,long_positions,TALO,3774
01/30/2026,long_positions,REGN,269
01/30/2026,long_positions,PARR,8
01/30/2026,long_positions,NEXA,11
01/30/2026,long_positions,SCHW,5126
01/30/2026,long_positions,RAMP,1147
01/30/2026,long_positions,ANGO,6966
01/30/2026,long_positions,RL,734
01/30/2026,long_positions,WK,1091
01/30/2026,long_positions,DCO,2922
01/30/2026,long_positions,VCYT,472
01/30/2026,long_positions,OMF,4219
01/30/2026,long_positions,ETSY,782
01/30/2026,long_positions,MXL,7545
01/30/2026,long_positions,EBC,1721
01/30/2026,long_positions,EL,2222
01/30/2026,long_positions,SENEA,346
01/30/2026,long_positions,GLNG,2002
01/30/2026,long_positions,RITM,18301
01/30/2026,long_positions,ACIW,3354
01/30/2026,long_positions,TPH,2629
01/30/2026,long_positions,NE,3641
01/30/2026,long_positions,AGIO,337
01/30/2026,long_positions,PINS,5057
01/30/2026,long_positions,BLMN,13600
01/30/2026,long_positions,EEFT,2530
01/30/2026,long_positions,MCS,17
01/30/2026,long_positions,LVS,2202
01/30/2026,long_positions,JAZZ,637
01/30/2026,long_positions,WBS,1191
01/30/2026,long_positions,LGND,237
01/30/2026,long_positions,INSM,1
01/30/2026,long_positions,PRU,1145
01/30/2026,long_positions,MO,5968
01/30/2026,long_positions,NX,4840
01/30/2026,long_positions,MUSA,788
01/30/2026,long_positions,PCRX,5705
01/30/2026,long_positions,GPC,911
01/30/2026,long_positions,FMBH,367
01/30/2026,long_positions,KBR,465
01/30/2026,long_positions,HUBS,1074
01/30/2026,long_positions,UNIT,29053
01/30/2026,long_positions,FIS,5669
01/30/2026,long_positions,FHN,9458
01/30/2026,long_positions,TBBK,1697
01/30/2026,long_positions,TMHC,21
01/30/2026,long_positions,PCOR,1983
01/30/2026,long_positions,CCOI,3946
01/30/2026,long_positions,OSIS,295
01/30/2026,long_positions,EPRT,5009
01/30/2026,long_positions,CACC,751
01/30/2026,long_positions,SB,41
01/30/2026,long_positions,GSIT,8209
01/30/2026,long_positions,MTUS,1848
01/30/2026,long_positions,UPS,147
01/30/2026,long_positions,AVPT,6826
01/30/2026,long_positions,SNAP,26926
01/30/2026,long_positions,QCOM,2086
01/30/2026,long_positions,LFST,4415
01/30/2026,long_positions,ALB,2608
01/30/2026,long_positions,PNFP,5285
01/30/2026,long_positions,GCMG,22942
01/30/2026,long_positions,CALY,11969
01/30/2026,long_positions,OMCL,1226
01/30/2026,long_positions,MOH,597
01/30/2026,long_positions,MAR,161
01/30/2026,long_positions,NNN,1975
01/30/2026,long_positions,TROX,8956
01/30/2026,long_positions,PLXS,1592
01/30/2026,long_positions,HAE,43
01/30/2026,long_positions,PR,9412
01/30/2026,long_positions,CYD,943
01/30/2026,long_positions,KRO,26002
01/30/2026,long_positions,TEX,213
01/30/2026,long_positions,PTCT,227
01/30/2026,long_positions,MWA,1370
01/30/2026,long_positions,CNM,1984
01/30/2026,long_positions,BHVN,19892
01/30/2026,long_positions,BPOP,528
01/30/2026,long_positions,SPB,5
01/30/2026,long_positions,CTO,587
01/30/2026,long_positions,BKNG,25
01/30/2026,long_positions,EQR,5831
01/30/2026,long_positions,DXC,13385
01/30/2026,long_positions,SPNT,995
01/30/2026,long_positions,IESC,124
01/30/2026,long_positions,ZTS,1601
01/30/2026,long_positions,IMAX,2033
01/30/2026,long_positions,SFNC,7932
01/30/2026,long_positions,ATRC,471
01/30/2026,long_positions,EQBK,4283
01/30/2026,long_positions,AWK,1679
01/30/2026,long_positions,AROC,19329
01/30/2026,long_positions,PODD,913
01/30/2026,long_positions,HOV,421
01/30/2026,long_positions,HCSG,2271
01/30/2026,long_positions,UTHR,474
01/30/2026,long_positions,XNCR,3886
01/30/2026,long_positions,ACLX,3550
01/30/2026,long_positions,AX,1437
01/30/2026,long_positions,AEIS,607
01/30/2026,long_positions,CENX,808
01/30/2026,long_positions,MU,417
01/30/2026,long_positions,SBLK,14432
01/30/2026,long_positions,FSLR,1121
01/30/2026,long_positions,HLX,3197
01/30/2026,long_positions,POR,86
01/30/2026,long_positions,DAVE,1
01/30/2026,long_positions,ATKR,1405
01/30/2026,long_positions,BWA,954
01/30/2026,long_positions,KFY,1190
01/30/2026,long_positions,AXON,288
01/30/2026,long_positions,BFH,594
01/30/2026,long_positions,IART,674
01/30/2026,long_positions,OGE,5791
01/30/2026,long_positions,ENSG,508
01/30/2026,long_positions,PTGX,990
01/30/2026,long_positions,GD,1428
01/30/2026,long_positions,TNL,997
01/30/2026,long_positions,GSAT,1832
01/30/2026,long_positions,ROIV,16568
01/30/2026,long_positions,SYF,557
01/30/2026,long_positions,PFS,1909
01/30/2026,long_positions,USNA,2703
01/30/2026,long_positions,ALV,1651
01/30/2026,long_positions,PLD,480
01/30/2026,long_positions,VICI,331
01/30/2026,long_positions,CPT,4051
01/30/2026,long_positions,BCO,1034
01/30/2026,long_positions,SF,2499
01/30/2026,long_positions,ADM,1495
01/30/2026,long_positions,FRT,1410
01/30/2026,long_positions,ADT,346
01/30/2026,long_positions,TEAM,1423
01/30/2026,long_positions,TXT,2671
01/30/2026,long_positions,SYBT,4828
01/30/2026,long_positions,REZI,196
01/30/2026,long_positions,HOPE,4659
01/30/2026,long_positions,FLG,16401
01/30/2026,long_positions,AGX,223
01/30/2026,long_positions,SNDX,4641
01/30/2026,long_positions,ECPG,101
01/30/2026,long_positions,GPK,30294
01/30/2026,long_positions,UMH,17836
01/30/2026,long_positions,MKC,6156
01/30/2026,long_positions,CRM,2733
01/30/2026,long_positions,HOMB,4861
01/30/2026,long_positions,AMRC,6
01/30/2026,long_positions,WMT,1697
01/30/2026,long_positions,VLO,110
01/30/2026,long_positions,KRG,899
01/30/2026,long_positions,HHH,259
01/30/2026,long_positions,PEG,5669
01/30/2026,long_positions,COKE,709
01/30/2026,long_positions,OFIX,5487
01/30/2026,long_positions,CVI,213
01/30/2026,long_positions,LULU,680
01/30/2026,long_positions,ARLO,13385
01/30/2026,long_positions,MRVL,5593
01/30/2026,long_positions,HAFC,75
01/30/2026,long_positions,DKS,1000
01/30/2026,long_positions,WGO,1049
01/30/2026,long_positions,ASB,1689
01/30/2026,long_positions,CACI,3
01/30/2026,long_positions,HY,6811
01/30/2026,long_positions,ATEC,9058
01/30/2026,long_positions,HPE,3523
01/30/2026,long_positions,CUZ,145
01/30/2026,long_positions,SNX,2151
01/30/2026,long_positions,KLAC,57
01/30/2026,long_positions,CENTA,215
01/30/2026,long_positions,TRS,6250
01/30/2026,long_positions,TOST,297
01/30/2026,long_positions,LRN,2863
01/30/2026,long_positions,ALK,972
01/30/2026,long_positions,BAP,958
01/30/2026,long_positions,RRR,5830
01/30/2026,long_positions,SBRA,7442
01/30/2026,long_positions,CPRI,1419
01/30/2026,long_positions,LBRT,3250
01/30/2026,long_positions,SPOT,484
01/30/2026,long_positions,PRVA,1260
01/30/2026,long_positions,PB,742
01/30/2026,long_positions,WEN,49994
01/30/2026,long_positions,BKH,233
01/30/2026,long_positions,CLFD,3778
01/30/2026,long_positions,YOU,274
01/30/2026,long_positions,ANDE,618
01/30/2026,long_positions,ROP,45
01/30/2026,long_positions,BFS,1166
01/30/2026,long_positions,WSC,19709
01/30/2026,long_positions,EW,6300
01/30/2026,long_positions,RIGL,4
01/30/2026,long_positions,WELL,2392
01/30/2026,long_positions,SHOO,818
01/30/2026,long_positions,NWPX,880
01/30/2026,long_positions,WTFC,2
01/30/2026,long_positions,LKQ,2670
01/30/2026,long_positions,BANC,274
01/30/2026,long_positions,AER,1994
01/30/2026,long_positions,WVE,5334
01/30/2026,long_positions,WABC,2798
01/30/2026,long_positions,JCI,1568
01/30/2026,long_positions,DE,89
01/30/2026,long_positions,AYI,320
01/30/2026,long_positions,HIFS,273
01/30/2026,long_positions,AXSM,1202
01/30/2026,long_positions,TRV,1700
01/30/2026,long_positions,MIDD,285
01/30/2026,long_positions,EZPW,3631
01/30/2026,long_positions,CMC,1559
01/30/2026,long_positions,WMB,7435
01/30/2026,long_positions,LNN,375
01/30/2026,long_positions,REX,69
01/30/2026,long_positions,DAN,16
01/30/2026,long_positions,BLKB,6568
01/30/2026,long_positions,CYTK,1136
01/30/2026,long_positions,LQDT,1736
01/30/2026,long_positions,OPLN,14
01/30/2026,long_positions,ALNT,1487
01/30/2026,long_positions,GEF,2155
01/30/2026,long_positions,ENPH,331
01/30/2026,long_positions,DTE,16
01/30/2026,long_positions,AXS,6
01/30/2026,long_positions,SITE,450
01/30/2026,long_positions,LGIH,579
01/30/2026,long_positions,GPI,121
01/30/2026,long_positions,UVV,4
01/30/2026,long_positions,HIW,460
01/30/2026,long_positions,QTWO,406
01/30/2026,long_positions,NWSA,27194
01/30/2026,long_positions,CW,893
01/30/2026,long_positions,WSBC,124
01/30/2026,long_positions,STC,3077
01/30/2026,long_positions,CHKP,952
01/30/2026,long_positions,AAT,116
01/30/2026,long_positions,MAS,376
01/30/2026,long_positions,DNLI,4166
01/30/2026,long_positions,FFIV,1256
01/30/2026,long_positions,MLKN,2798
01/30/2026,long_positions,ENVA,445
01/30/2026,long_positions,TLRY,5623
01/30/2026,long_positions,DECK,847
01/30/2026,long_positions,MOS,2177
01/30/2026,long_positions,IP,784
01/30/2026,long_positions,AVB,1186
01/30/2026,long_positions,NPK,899
01/30/2026,long_positions,KMI,6521
01/30/2026,long_positions,TSN,9954
01/30/2026,long_positions,WMK,270
01/30/2026,long_positions,DELL,4880
01/30/2026,long_positions,PLUS,650
01/30/2026,long_positions,RBC,475
01/30/2026,long_positions,SHEN,11966
01/30/2026,long_positions,PCAR,1715
01/30/2026,long_positions,SO,14
01/30/2026,long_positions,BRZE,907
01/30/2026,long_positions,NBN,400
01/30/2026,long_positions,LQDA,974
01/30/2026,long_positions,WYNN,4352
01/30/2026,long_positions,BGC,11099
01/30/2026,long_positions,URBN,935
01/30/2026,long_positions,TBPH,1037
01/30/2026,long_positions,ATR,1155
01/30/2026,long_positions,WCC,852
01/30/2026,long_positions,FSK,6667
01/30/2026,long_positions,CWK,267
01/30/2026,long_positions,CIEN,1332
01/30/2026,long_positions,GS,155
01/30/2026,long_positions,EXC,11599
01/30/2026,long_positions,FISI,3788
01/30/2026,long_positions,WWD,1047
01/30/2026,long_positions,PI,457
01/30/2026,long_positions,BV,4676
01/30/2026,long_positions,XHR,105
