Date,Port,ticker,shares
01/29/2026,short_positions,FISV,-5723
01/29/2026,short_positions,AGYS,-273
01/29/2026,short_positions,UNP,-197
01/29/2026,short_positions,COR,-648
01/29/2026,short_positions,MATW,-1191
01/29/2026,short_positions,NXST,-867
01/29/2026,short_positions,ERIE,-479
01/29/2026,short_positions,CTMX,-22130
01/29/2026,short_positions,MSTR,-698
01/29/2026,short_positions,AOS,-4783
01/29/2026,short_positions,SIG,-6
01/29/2026,short_positions,MOD,-865
01/29/2026,short_positions,JJSF,-2218
01/29/2026,short_positions,EBS,-5608
01/29/2026,short_positions,MP,-40
01/29/2026,short_positions,PRMB,-7196
01/29/2026,short_positions,CPB,-476
01/29/2026,short_positions,MXL,-2153
01/29/2026,short_positions,EBC,-1110
01/29/2026,short_positions,BH/A,-158
01/29/2026,short_positions,PRAA,-23486
01/29/2026,short_positions,WPC,-7443
01/29/2026,short_positions,CFR,-1593
01/29/2026,short_positions,SCSC,-927
01/29/2026,short_positions,THR,-646
01/29/2026,short_positions,RITM,-9192
01/29/2026,short_positions,VITL,-60
01/29/2026,short_positions,META,-478
01/29/2026,short_positions,RXO,-166
01/29/2026,short_positions,ACHC,-564
01/29/2026,short_positions,SEI,-148
01/29/2026,short_positions,SABR,-1490
01/29/2026,short_positions,AVNS,-508
01/29/2026,short_positions,LZB,-175
01/29/2026,short_positions,TPL,-737
01/29/2026,short_positions,MCS,-14488
01/29/2026,short_positions,LVS,-2858
01/29/2026,short_positions,OVV,-10932
01/29/2026,short_positions,PRU,-309
01/29/2026,short_positions,PLPC,-75
01/29/2026,short_positions,BLFS,-78
01/29/2026,short_positions,NFLX,-516
01/29/2026,short_positions,LMT,-463
01/29/2026,short_positions,WGS,-2049
01/29/2026,short_positions,SMTC,-522
01/29/2026,short_positions,KBR,-1197
01/29/2026,short_positions,RSI,-14245
01/29/2026,short_positions,GOGO,-560
01/29/2026,short_positions,A,-1217
01/29/2026,short_positions,ACGL,-1586
01/29/2026,short_positions,UNIT,-36
01/29/2026,short_positions,VLY,-12548
01/29/2026,short_positions,OMER,-1850
01/29/2026,short_positions,TBBK,-733
01/29/2026,short_positions,FG,-2225
01/29/2026,short_positions,APEI,-2301
01/29/2026,short_positions,NOV,-11499
01/29/2026,short_positions,MCO,-747
01/29/2026,short_positions,CLH,-2006
01/29/2026,short_positions,SB,-16657
01/29/2026,short_positions,BKR,-369
01/29/2026,short_positions,UPS,-4300
01/29/2026,short_positions,WDFC,-230
01/29/2026,short_positions,ROST,-842
01/29/2026,short_positions,PNR,-4529
01/29/2026,short_positions,LOB,-86
01/29/2026,short_positions,WEC,-729
01/29/2026,short_positions,BGS,-3091
01/29/2026,short_positions,JXN,-3237
01/29/2026,short_positions,GTLB,-696
01/29/2026,short_positions,ILMN,-265
01/29/2026,short_positions,EGY,-9075
01/29/2026,short_positions,NNN,-5399
01/29/2026,short_positions,SM,-349
01/29/2026,short_positions,SLGN,-32
01/29/2026,short_positions,TXRH,-2045
01/29/2026,short_positions,PR,-10184
01/29/2026,short_positions,CYD,-2289
01/29/2026,short_positions,TEX,-156
01/29/2026,short_positions,RMD,-2271
01/29/2026,short_positions,CC,-4584
01/29/2026,short_positions,HIMS,-1482
01/29/2026,short_positions,ACI,-1776
01/29/2026,short_positions,MNKD,-11549
01/29/2026,short_positions,BHVN,-27
01/29/2026,short_positions,AMBA,-1628
01/29/2026,short_positions,RLJ,-4559
01/29/2026,short_positions,CRWD,-606
01/29/2026,short_positions,SLNO,-665
01/29/2026,short_positions,CPF,-12358
01/29/2026,short_positions,ADNT,-3874
01/29/2026,short_positions,MEDP,-135
01/29/2026,short_positions,MGRC,-1295
01/29/2026,short_positions,NN,-9536
01/29/2026,short_positions,AWK,-1399
01/29/2026,short_positions,REPL,-4205
01/29/2026,short_positions,ASIX,-11142
01/29/2026,short_positions,COIN,-688
01/29/2026,short_positions,COLB,-1126
01/29/2026,short_positions,HTZ,-8872
01/29/2026,short_positions,LAND,-122
01/29/2026,short_positions,FELE,-300
01/29/2026,short_positions,BSY,-8441
01/29/2026,short_positions,AX,-2316
01/29/2026,short_positions,DCI,-3436
01/29/2026,short_positions,GOLF,-687
01/29/2026,short_positions,ICLR,-1168
01/29/2026,short_positions,MPWR,-620
01/29/2026,short_positions,NVST,-6359
01/29/2026,short_positions,BANF,-397
01/29/2026,short_positions,CPAY,-742
01/29/2026,short_positions,RGTI,-1402
01/29/2026,short_positions,FAST,-1682
01/29/2026,short_positions,YETI,-3572
01/29/2026,short_positions,NOC,-875
01/29/2026,short_positions,HNI,-102
01/29/2026,short_positions,TDW,-762
01/29/2026,short_positions,YUM,-17
